Rec,REClow,REClow,REClow,REClow,REClow,REClowmed,REClowmed,REClowmed,REClowmed,REClowmed,RECmix,RECmix,RECmix,RECmix,RECmix
Rule,HCR10,HCR13,HCR14,HCR8,HCR9,HCR10,HCR13,HCR14,HCR8,HCR9,HCR10,HCR13,HCR14,HCR8,HCR9
round(Median_B1plus[period == \initial\"]/1000,324,327,330,326,325,467,471,476,468,464,421,428,436,425,421
round(Median_B1plus[period == \short\"]/1000,307,312,315,311,308,496,513,518,502,496,444,463,472,455,447
round(Median_B1plus[period == \med\"]/1000,278,287,295,283,281,541,579,590,563,551,501,561,575,540,521
round(Median_B1plus[period == \last\"]/1000,271,282,288,276,273,542,582,597,568,559,510,572,589,551,534
round(Median_F[period == \initial\"],0.106,0.095,0.085,0.1,0.104,0.093,0.071,0.062,0.08,0.087,0.094,0.075,0.066,0.082,0.089
round(Median_F[period == \short\"],0.103,0.096,0.087,0.1,0.102,0.093,0.067,0.058,0.077,0.085,0.094,0.071,0.062,0.08,0.087
round(Median_F[period == \med\"],0.121,0.11,0.098,0.117,0.121,0.092,0.062,0.052,0.072,0.083,0.094,0.063,0.053,0.074,0.085
round(Median_F[period == \last\"],0.137,0.117,0.103,0.128,0.135,0.093,0.062,0.051,0.072,0.082,0.095,0.063,0.052,0.074,0.084
round(Median_Catch[period == \initial\"]/1000,33,34,30,33,33,50,35,30,40,45,43,35,30,40,43
round(Median_Catch[period == \short\"]/1000,30,31,30,31,30,50,35,30,40,45,49,35,30,40,45
round(Median_Catch[period == \med\"]/1000,32,34,30,33,32,50,35,30,40,45,50,35,30,40,45
round(Median_Catch[period == \last\"]/1000,35,35,30,37,36,50,35,30,40,45,50,35,30,40,45
round(IAV1_Catch[period == \initial\"]/1000,6,3,2,4,6,5,2,1,3,4,5,2,1,3,4
round(IAV1_Catch[period == \short\"]/1000,7,4,2,5,6,4,1,1,2,3,4,2,1,3,4
round(IAV1_Catch[period == \med\"]/1000,7,3,2,5,6,2,0,0,1,1,3,1,0,1,2
round(IAV1_Catch[period == \last\"]/1000,7,3,1,4,6,2,0,0,0,1,2,0,0,1,1
round(closure[period == \initial\"] * 100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
round(closure[period == \short\"] * 100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
round(closure[period == \med\"] * 100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
round(closure[period == \last\"] * 100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
round(firstyear_B1plus_Blim[period == \all\"],NA,NA,NA,NA,NA,2025,2025,2024,2025,2025,NA,NA,2054,NA,NA
round(firstyear_B1plus_Blow[period == \all\"],2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
round(avg_P_B1plus_Blim[period == \initial\"] * 100,58.7,56.6,54.7,57.1,57.9,9.6,8.7,8.1,9.5,9.8,29.1,28,26.7,28.7,29.1
round(avg_P_B1plus_Blim[period == \short\"] * 100,69.1,66.4,64.3,66.9,68.7,6.9,5.6,5.1,6.4,6.9,27.4,25.2,23.2,26.1,27.2
round(avg_P_B1plus_Blim[period == \med\"] * 100,84,80,75.6,81.8,82.9,3,0.9,0.5,1.6,2.3,18.8,11.7,8.6,14.5,16.9
round(avg_P_B1plus_Blim[period == \last\"] * 100,85.6,80.8,77.8,83.2,84.5,2.9,0.9,0.5,1.4,2.1,17,6.8,4.4,9,12.8
round(avg_P_B1plus_Blow[period == \initial\"] * 100,0.3,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
round(avg_P_B1plus_Blow[period == \short\"] * 100,1,0.6,0.5,0.5,0.8,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.3
round(avg_P_B1plus_Blow[period == \med\"] * 100,4,2.9,2.1,3.5,4,0,0,0,0,0,1.1,0.6,0.4,0.8,1
round(avg_P_B1plus_Blow[period == \last\"] * 100,5.5,3.6,2.6,4.2,5,0,0,0,0,0,0.5,0.1,0.1,0.2,0.4
round(max_P_B1plus_Blim[period == \initial\"] * 100,74,71.4,67.5,71.9,73.4,17.5,17.6,16.9,18.1,17.7,31.9,31.9,32.4,32.3,32.8
round(max_P_B1plus_Blim[period == \short\"] * 100,80.3,77.5,75.6,78.4,81.1,17.5,17.6,16.9,18.1,17.7,31.9,31.9,32.4,32.3,32.8
round(max_P_B1plus_Blim[period == \med\"] * 100,85.5,81.9,78.4,83.3,84.1,3.8,1.5,1,2.3,2.7,20.2,13.9,10.2,15.7,18.3
round(max_P_B1plus_Blim[period == \last\"] * 100,87.3,83.4,79.8,85.3,86.4,4.1,1.4,0.7,2,2.8,17.8,7.3,4.9,9.4,14
round(max_P_B1plus_Blow[period == \initial\"] * 100,0.6,0.3,0.3,0.2,0.5,0.2,0.4,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2
round(max_P_B1plus_Blow[period == \short\"] * 100,2.2,1.8,1.2,1.4,2.1,0.2,0.4,0.2,0.3,0.2,0.7,0.5,0.5,0.6,0.8
round(max_P_B1plus_Blow[period == \med\"] * 100,5.1,4,2.8,4.7,5.1,0,0,0,0.1,0.1,1.5,0.9,0.7,1.1,1.3
round(max_P_B1plus_Blow[period == \last\"] * 100,7.1,4.3,3.8,5.7,6.4,0.3,0,0,0,0,0.7,0.5,0.2,0.6,0.8
